,horas_total_duracao,linha_Jet Airways,dia_voo,mes_voo,linha_Jet Airways Business,linha_Multiple carriers,linha_Air India,destino_Delhi,min_partida,hora_chegada,hora_partida,min_chegada,destino_New Delhi,destino_Hyderabad,origem_Mumbai,linha_IndiGo,origem_Banglore,linha_Vistara,origem_Delhi
0,2.6666666666666665,0,4,1,0,0,0,1,55,8,5,35,0,0,0,0,1,0,0
1,7.75,0,3,1,0,1,0,0,35,22,14,20,0,0,0,0,0,0,1
2,10.5,0,27,6,0,1,0,0,30,19,8,0,0,0,0,0,0,0,1
3,8.583333333333334,0,27,6,0,0,0,0,35,16,7,10,0,0,0,1,0,0,1
4,3.25,0,15,6,0,0,0,0,35,8,5,50,0,0,0,1,0,0,1
5,7.75,0,6,3,0,1,0,0,45,1,17,30,0,0,0,0,0,0,1
6,23.0,1,3,6,0,0,0,0,25,4,5,25,0,0,0,0,0,0,1
7,2.8333333333333335,0,21,5,0,0,0,1,30,11,8,20,0,0,0,1,1,0,0
8,15.416666666666666,1,27,3,0,0,0,0,0,4,13,25,0,0,0,0,0,0,1
9,2.9166666666666665,0,6,3,0,0,0,1,10,10,7,5,0,0,0,1,1,0,0
10,3.25,1,18,4,0,0,0,0,0,14,11,15,0,0,0,0,0,0,1
11,3.1666666666666665,0,6,1,0,0,0,0,40,17,14,50,0,0,0,0,0,1,1
12,13.25,0,27,5,0,1,0,0,0,19,6,15,0,0,0,0,0,0,1
13,2.5,0,24,4,0,0,0,0,15,17,15,45,0,0,0,1,0,0,0
14,1.4166666666666667,1,6,9,0,0,0,0,55,4,2,20,0,1,1,0,0,0,0
15,10.666666666666666,0,6,9,0,1,0,0,20,21,10,0,0,0,0,0,0,0,1
16,9.5,0,18,5,0,1,0,0,30,21,11,0,0,0,0,0,0,0,1
17,8.916666666666666,1,21,5,0,0,0,0,30,4,19,25,0,0,0,0,0,0,1
18,4.666666666666667,0,5,6,0,0,0,0,35,22,17,15,0,0,0,1,0,0,0
19,11.833333333333334,0,5,6,0,0,0,0,35,19,7,25,0,0,0,0,0,0,0
20,5.166666666666667,0,27,3,0,0,0,0,10,11,6,20,0,0,0,0,0,0,1
21,11.0,1,4,6,0,0,0,0,0,19,8,0,0,0,0,0,0,0,1
22,11.5,0,5,6,0,1,0,0,30,19,7,0,0,0,0,0,0,0,1
23,21.583333333333332,1,27,6,0,0,0,0,0,12,15,35,0,0,0,0,0,0,1
24,2.4166666666666665,0,6,12,0,0,0,0,35,14,11,0,0,0,0,1,0,0,0
25,2.8333333333333335,0,24,3,0,0,1,0,20,16,13,10,1,0,0,0,1,0,0
26,12.5,1,6,9,0,0,0,0,35,22,9,5,0,0,0,0,0,0,0
27,3.6666666666666665,0,6,9,0,0,0,0,50,10,6,30,0,0,0,0,0,0,0
28,26.166666666666668,1,6,6,0,0,0,0,15,4,2,25,0,0,0,0,0,0,1
29,28.833333333333332,1,5,1,0,0,0,0,35,14,9,25,0,0,0,0,0,0,0
30,2.6666666666666665,0,24,3,0,0,0,0,30,14,11,10,1,0,0,0,1,1,0
31,13.25,0,15,6,0,1,0,0,0,19,6,15,0,0,0,0,0,0,1
32,2.6666666666666665,0,24,5,0,0,0,1,55,8,5,35,0,0,0,0,1,0,0
33,13.5,1,24,6,0,0,0,0,5,12,23,35,0,0,0,0,0,0,1
34,1.5,0,5,12,0,0,0,0,45,0,22,15,0,1,1,0,0,0,0
35,7.583333333333333,0,6,6,0,1,0,0,40,19,11,15,0,0,0,0,0,0,1
36,8.0,0,21,3,0,0,0,0,30,15,7,30,0,0,0,1,0,0,1
37,16.75,1,5,1,0,0,0,0,0,9,17,45,0,0,0,0,0,0,0
38,22.416666666666668,0,6,9,0,0,1,0,0,5,7,25,0,0,0,0,0,0,0
39,19.916666666666668,1,21,5,0,0,0,0,5,19,23,0,0,0,0,0,0,0,1
40,11.833333333333334,1,3,12,0,0,0,0,55,10,22,45,1,0,0,0,1,0,0
41,2.5833333333333335,0,15,4,0,0,0,0,15,19,17,50,0,0,0,1,0,0,0
42,2.25,0,5,9,0,0,0,0,5,9,7,20,0,0,0,0,0,1,0
43,13.25,1,24,3,0,0,0,0,55,8,18,10,0,0,0,0,0,0,0
44,14.5,1,5,9,0,0,0,0,25,10,20,55,0,0,0,0,0,0,0
45,12.416666666666666,1,27,5,0,0,0,0,0,4,16,25,0,0,0,0,0,0,1
46,10.666666666666666,0,3,3,0,1,0,0,20,21,10,0,0,0,0,0,0,0,1
47,13.333333333333334,1,6,6,0,0,0,0,25,9,20,45,0,0,0,0,0,0,0
48,30.0,0,15,6,0,0,1,0,15,19,13,15,0,0,0,0,0,0,1
49,10.5,0,27,3,0,1,0,0,5,1,15,35,0,0,0,0,0,0,1
50,7.25,1,21,3,0,0,0,0,5,21,14,20,1,0,0,0,1,0,0
51,15.25,0,21,3,0,0,0,0,40,21,6,55,1,0,0,0,1,1,0
52,25.833333333333332,0,6,6,0,0,0,0,0,18,17,50,0,0,0,0,0,1,0
53,2.5833333333333335,0,27,6,0,0,1,0,45,23,20,20,0,0,0,0,0,0,0
54,2.8333333333333335,0,24,5,0,0,0,1,0,6,4,50,0,0,0,1,1,0,0
55,16.75,1,27,6,0,0,0,0,15,19,2,0,0,0,0,0,0,0,1
56,1.5,0,5,6,0,0,0,0,25,7,6,55,0,1,1,1,0,0,0
57,3.0,0,21,5,0,0,0,1,15,0,21,15,0,0,0,1,1,0,0
58,2.3333333333333335,0,6,1,0,0,0,0,20,0,22,40,0,0,0,0,0,0,0
59,2.75,0,21,3,0,0,0,0,10,12,10,55,0,0,0,1,0,0,0
60,8.5,0,27,3,0,1,0,0,0,15,7,30,0,0,0,0,0,0,1
61,13.75,0,3,6,0,0,0,0,35,22,8,20,0,0,0,1,0,0,1
62,2.3333333333333335,0,6,3,0,0,0,0,35,21,19,55,0,0,0,1,0,0,0
63,2.4166666666666665,0,3,1,0,0,0,0,35,14,11,0,0,0,0,1,0,0,0
64,9.25,0,27,5,0,0,1,0,0,19,10,15,0,0,0,0,0,0,1
65,13.333333333333334,1,6,9,0,0,0,0,55,8,18,15,0,0,0,0,0,0,0
